Fold,Date,Stock_Code,Stock_Name,Predict_Prob,Actual_Return,Error_Type,Possible_Reason
12,2025-12-03 00:00:00+00:00,0016.HK,新鸿基地产,0.9687718424149537,-0.005816771691711131,False Positive,高概率预测但实际下跌
12,2025-12-04 00:00:00+00:00,0016.HK,新鸿基地产,0.7404903924457287,-0.014627011214041974,False Positive,高概率预测但实际下跌
12,2025-12-02 00:00:00+00:00,0883.HK,中国海洋石油,0.8330735097289201,-0.6173708920187793,False Positive,高概率预测但实际下跌
12,2025-12-04 00:00:00+00:00,0883.HK,中国海洋石油,0.8786272496067282,-0.03921568627450989,False Positive,高概率预测但实际下跌
12,2025-12-22 00:00:00+00:00,0939.HK,建设银行,0.7682766166267069,-0.0017846519928612636,False Positive,高概率预测但实际下跌
12,2025-12-23 00:00:00+00:00,0939.HK,建设银行,0.885048895766129,-0.0023837902264600697,False Positive,高概率预测但实际下跌
12,2025-12-24 00:00:00+00:00,0939.HK,建设银行,0.8868938582975759,-0.010155316606929587,False Positive,高概率预测但实际下跌
12,2025-12-29 00:00:00+00:00,0939.HK,建设银行,0.8446448132885171,-0.0006035003017501595,False Positive,高概率预测但实际下跌
12,2025-12-30 00:00:00+00:00,0939.HK,建设银行,0.9004537386695369,-0.012077294685990392,False Positive,高概率预测但实际下跌
12,2025-12-03 00:00:00+00:00,0941.HK,中国移动,0.8664706650152448,-0.011519078473722022,False Positive,高概率预测但实际下跌
12,2025-12-05 00:00:00+00:00,0005.HK,汇丰银行,0.20164675547607708,0.006172839506172867,False Negative,低概率预测但实际上涨
12,2025-12-10 00:00:00+00:00,0005.HK,汇丰银行,0.19591802770473757,0.002777777777777768,False Negative,低概率预测但实际上涨
12,2025-12-12 00:00:00+00:00,0005.HK,汇丰银行,0.17622760503480403,0.017433751743375137,False Negative,低概率预测但实际上涨
12,2025-12-17 00:00:00+00:00,0005.HK,汇丰银行,0.12689661260476165,0.0034411562284928365,False Negative,低概率预测但实际上涨
12,2025-12-19 00:00:00+00:00,0005.HK,汇丰银行,0.1135698656491515,0.016483516483516425,False Negative,低概率预测但实际上涨
12,2025-12-11 00:00:00+00:00,0012.HK,恒基地产,0.2958399062927408,0.007318348144275788,False Negative,低概率预测但实际上涨
12,2025-12-08 00:00:00+00:00,0016.HK,新鸿基地产,0.22723027198972132,0.002460629921259949,False Negative,低概率预测但实际上涨
12,2025-12-11 00:00:00+00:00,0016.HK,新鸿基地产,0.11985221180355263,0.003988035892322994,False Negative,低概率预测但实际上涨
12,2025-12-16 00:00:00+00:00,0016.HK,新鸿基地产,0.20608879023388466,0.004977600796416182,False Negative,低概率预测但实际上涨
12,2025-12-05 00:00:00+00:00,0388.HK,香港交易所,0.2507157607168612,0.0016366612111293755,False Negative,低概率预测但实际上涨
