timestamp,capital,portfolio_value,positions
2025-10-28T10:22:06.118305,46022.989294052124,1034333.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T10:38:52.557027,30695.989294052124,1033023.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T10:55:51.003485,25163.989294052124,1029786.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T11:13:40.338866,18435.989294052124,1036302.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T11:30:42.499483,18435.989294052124,1037839.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T11:47:11.711096,15663.989294052124,1037718.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T13:04:26.993669,12894.989294052124,1035378.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T13:21:26.228953,12894.989294052124,1030118.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T13:38:28.691856,12894.989294052124,1021977.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
2025-10-28T13:55:19.679334,10426.989294052124,1024569.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}, '2533.HK': {'shares': 0, 'avg_price': 24.68}}"
2025-10-28T14:12:58.468307,10426.989294052124,1024470.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}, '2533.HK': {'shares': 0, 'avg_price': 24.68}}"
2025-10-28T14:30:08.104233,10426.989294052124,1022653.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}, '2533.HK': {'shares': 0, 'avg_price': 24.68}}"
2025-10-28T14:46:40.989813,10426.989294052124,1022046.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}, '2533.HK': {'shares': 0, 'avg_price': 24.68}}"
2025-10-28T15:03:45.137550,10426.989294052124,1022737.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}, '2533.HK': {'shares': 0, 'avg_price': 24.68}}"
2025-10-28T15:21:52.350576,8610.989294052124,1021316.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}, '2533.HK': {'shares': 0, 'avg_price': 24.68}}"
2025-10-28T15:39:10.900890,6595.989294052124,1021274.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}, '2533.HK': {'shares': 0, 'avg_price': 24.68}}"
2025-10-28T15:55:42.387243,9061.989294052124,1020344.9892940521,"{'1288.HK': {'shares': 44900, 'avg_price': 6.020245134272926}, '1347.HK': {'shares': 3100, 'avg_price': 81.20483920189643}, '0981.HK': {'shares': 2000, 'avg_price': 78.99250114440918}, '0939.HK': {'shares': 14900, 'avg_price': 7.87939598505929}, '3968.HK': {'shares': 1500, 'avg_price': 49.839999043782555}, '1398.HK': {'shares': 7900, 'avg_price': 6.065822860862635}, '0728.HK': {'shares': 4600, 'avg_price': 5.650000095367432}, '9660.HK': {'shares': 4800, 'avg_price': 9.21875}}"
